,Avg Distance,Station ID
0,0.8571564062014638,3021.0
1,1.0411531313581492,3022.0
2,0.7984121308557204,3076.0
3,0.6820354923465342,3031.0
4,0.7700171258032856,3063.0
5,0.8547040976524498,3042.0
6,0.9429419209198155,3054.0
7,0.7190903881423445,3006.0
8,0.7179724473974063,3018.0
9,0.9614478408193786,3014.0
10,1.2222715551147136,3037.0
11,0.7541457173560989,3034.0
12,0.5914965244968684,3016.0
13,0.7911687003402262,3005.0
14,0.765510043698189,3047.0
15,1.257098292742054,3040.0
16,1.6745180530194914,3066.0
17,0.8792287643805037,3033.0
18,0.7081360134974308,3030.0
19,0.7166510920243535,3055.0
20,1.1549243341348345,3065.0
21,0.7612576900842173,3068.0
22,0.7259418043842845,3007.0
23,0.9317408179457516,3052.0
24,0.8443564900654489,3019.0
25,0.988682396001,3049.0
26,0.7439565386391774,3075.0
27,0.8416880197300647,3032.0
28,0.7479707525472652,3067.0
29,0.8711963445556857,3035.0
30,0.7403451683961669,3051.0
31,0.815142185776188,3062.0
32,1.296246423642856,3058.0
33,1.2741800414862006,3045.0
34,0.8806431547558237,3080.0
35,0.7593006838385354,3038.0
36,0.7953797200218617,3053.0
37,0.7922925015069201,3069.0
38,1.0457388124391285,3036.0
39,0.8794841300016623,3079.0
40,0.737432352780376,3008.0
41,0.6678653868880212,3056.0
42,0.9940434835284828,3028.0
43,2.013283911590873,3020.0
44,0.7921982229751736,3023.0
45,1.1811462634750158,3025.0
46,0.7764529438392527,3074.0
47,0.7775563789933401,3027.0
48,1.3804245842989162,3026.0
49,1.1402589860068104,3057.0
50,1.5179625999760467,3078.0
51,0.653302008393019,3029.0
52,0.7279424706248048,3060.0
53,0.80699869053506,3077.0
54,0.7224458522097441,3059.0
55,1.018790747048519,3010.0
56,0.7028015434886967,3064.0
57,0.6906222793247951,3046.0
58,0.9623688668690126,3011.0
59,2.9746242963961915,4108.0
60,1.3932854435319175,3048.0
61,1.1895881106077164,3081.0
62,1.03103667321345,3024.0
63,0.9262279927714794,3082.0
